lot_number,literature,artist,year_painted,provenance,high_estimate,low_estimate,special_notice,price_realised,title,medium,exhibited,size
D. Joselit, ,, Massachusetts, 1998, p. 13, fig. 1.3 (another example illustrated).,

D. Ades, N. Cox and D. Hopkins, ,, London, 1999, p. 78, fig. 60 (another example illustrated).,

F. M. Naumann, ,, New York, 1999, pp. 44, 132, 223, 231 and 242-243, fig. 2.6, 5.11, 8.23, 8.39 and 8.64 (other examples illustrated).,

A. Schwarz, ,,,New York, 2000, vol. 1, pp. 345-346 and 594-596, no. 282 (another example illustrated).","Marcel Duchamp (1887-1968),

","

Conceived in 1913-1914 and executed in 1964. This work is number five from an edition of eight replicas plus two artist's proofs and two replicas outside of the edition.","Private collection, Paris,

Kent Fine Art, New York,

Acquired from the above by the present owner, 1988","USD 1,800,000","USD 1,200,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 1,927,500","3 Standard Stoppages,

","

42 3/4 x 2 1/2 x 1/8 in. (108.6 x 6.4 x 4 cm.)","Pasadena Art Museum, ,, October-November 1963, n.p., no. 36 (another example exhibited and illustrated).,

London, Tate Gallery, ,, June-July 1966, p. 48, no. 110 (another example exhibited and illustrated). ,

Philadelphia Museum of Art; New York, Museum of Modern Art and Art Institute of Chicago, ,, September 1973-April 1974, no. 126 (another example exhibited).,

New York, Gallery Yves Arman and Paris, Galerie Beaubourg, ,, March-December 1984, pp. IV, 34 and 161 (another example exhibited and illustrated).,

Cologne, Museum Ludwig, ,, June-August 1984, pp. 144 and 237, no. 55 (another example exhibited and illustrated).,

Stockholm, Moderna Museet, ,, October 1987-January 1988, p. 220, no. 8 (another example exhibited and illustrated).,

Cologne, Museum Ludwig, ,, January-March 1988, pp. 83 and 317-318 (another example exhibited and illustrated).,

New York, Barbara Gladstone Gallery, ,, February-March 1990.","

47 1/8 x 2 5/8 x 1/8 in. (119.6 x 6.6 x 4 cm.)"

16 B,"P. Schjeldahl and M. Danoff, ,, New York, 1984, p. 47, pl. 17 (another example illustrated). ,

A. Danto, ,, Munich, 1990, pp. 46-47, pl. 16 (another example illustrated).,

R. Krauss, ,, New York, 1993, pp. 28, 30-31 and 225 (another example illustrated).,

,, exh. cat., Rotterdam, Museum Boijmans van Beuningen, 1997, pp. 10-11, 16 and 38-39, no. 14 (another example illustrated). ,

C. Morris, ,, New York, 1999, pp. 41 and 43 (another example illustrated). ,

S. Rice, ed., ,, Cambridge, 1999, p. 7, fig. 1.3 (another example illustrated).,

G. Knape, ed., ,, GÃ¶teborg, 2000, p. 41 (another example illustrated). ,

H. S. Bee and C. Heliczer, eds., ,, New York, 2004, p. 295 (another example illustrated).,

J. Burton, ed., ,, Cambridge, 2006, pp. 101-102 and 221 (another example illustrated).,

G. Schor, ""Cindy's Original Scene: Doll Clothes,"" ,, no. 78, 2006, p. 22 (another example illustrated). ,

D. Birnbaum, C. Bulter and S. Cotter, eds., ,, London, 2011, pp. 30 and 478 (another example illustrated).,

W. Gompertz, ,, London, 2012, pp. 352-353, fig. 31 (another example illustrated).,

P. Moorhouse, ,, London, 2014, pp. 29 and 37, fig. 32 (another example illustrated). ,

G. Selz, ,, New York, 2014, pp. 575 and 740 (another example illustrated).,

D. Crimp, ,, New York, 2016, pp. 254 and 256-257 (another example illustrated).,

N. Mirzoeff, ,, New York, 2016, pp. 52-53 (another example illustrated).","Cindy Sherman (B. 1954),

","

Executed in 1978. This work is number six from an edition of ten.","Metro Pictures, New York,

Janet Borden, Inc., New York,

Acquired from the above by the present owner, 1989","USD 700,000","USD 500,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 871,500","Untitled Film Still #21,

","

gelatin silver print","Amsterdam, Stedelijk Museum, ,, December 1982, n.p., pl. 17 (another example exhibited and illustrated).,

New York, Whitney Museum of American Art; Boston, Institute of Contemporary Art and Dallas Museum of Art, ,, July-October 1987, n.p., pl. 17 (another example exhibited and illustrated).,

Kunsthalle Basel; Munich, Staatsgalerie Moderner Kunst and London, Whitechapel Art Gallery, ,, March-September 1991, p. 19 (another example exhibited and illustrated).,

Washington, D.C., Hirshhorn Museum and Sculpture Garden, ,, March-June 1995, n.p. (another example exhibited and illustrated).,

Hamburg, Deichtorhallen; MalmÃ¶, Kunsthall and Lucerne, Kustmuseum, ,, May 1995- February 1996, pl. 4 (another example exhibited and illustrated).,

Shiga, Museum of Modern Art; Marugame Genichiro-Inokuma Museum of Contemporary Art and Tokyo, Museum of Contemporary Art, ,, July-December 1996, pp. 69 and 180, no. 18 (another example exhibited and illustrated).,

New York, Museum of Modern Art, ,, June-September 1997, pp. 34-35 (another example exhibited and illustrated).,

Los Angeles, The Museum of Contemporary Art; Chicago, Museum of Contemporary Art; Prague, Galerie Rudolfinum; London, Barbican Art Gallery; CAPC MusÃ©e d'art Contemporain de Bordeaux; Sydney, Museum of Contemporary Art and Toronto, Art Gallery of Ontario, ,, November 1997-January 2000, pp. 2 and 68, pl. 22 (another example exhibited and illustrated).,

New York, Whitney Museum of American Art, ,, September 1999-February 2000.,

Paris, Jeu de Paume; Kunsthaus Bregenz; Humlebaek, Louisiana Museum of Modern Art and Berlin, Martin-Gropius-Bau,,, May 2006-September 2007, n.p. (another example exhibited and illustrated).,

New York, Metropolitan Museum of Art, ,, September-December 2012, pp. 109 and 292, no. 143 (another example exhibited and illustrated).,

New York, Museum of Modern Art, ,, February-June 2012, pp. 40, 103 and 241, pl. 35 (another example exhibited and illustrated).,

Basel, Museum fÃ_r Gegenwartskunst, ,, August 2015-January 2016 (another example exhibited).,

Berlin, Galerie Buchholz, ,, September-October 2016 (another example exhibited).,

London, Saatchi Gallery, ,, March-May 2017 (another example exhibited).","

8 x 10 in. (20.3 x 25.4 cm.)"

21 B,,"Anselm Kiefer (B. 1945),

","

Executed in 1981.","Charles Saatchi, London,

Stephen Mazoh & Co., Inc., New York,

Acquired from the above by the present owner, 1983","USD 1,200,000","USD 800,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 1,027,500","Dein Goldenes Haar, Margarete,

","

oil, charcoal, shellac and straw on canvas","Milan, Galleria Salvatore Ala, ,, June-July 1981.,

Essen, Museum Folkwang and London, Whitechapel Art Gallery, ,, October 1981-May 1982, p. 62 (illustrated).","

46 1/2 x 57 1/8 in. (118 x 145 cm.)"

13 B,"M. Brenson, ""Romanticism Or Cynicism? Only Salle Knows,"" ,, 27 April 1986, p. H31 (illustrated).,

M. A. Staniszewski, ""Corporate Culture,"" ,, vol. 3, no. 4, April 1986, p. 164 (illustrated in color).,

""The Art Of The Mega-Collector,"" ,, 18 May 1986 (installation view illustrated in color).,

A. Wallach, ""David Salle: There's Mystery in His Art,"" ,, 16 January 1987, p. 23 (illustrated).,

D. Whitney, ed., ,, New York, 1994, p. 135, pl. 56 (illustrated in color).,

R. Brooks, et al.,,, New York, 2003, p. 34 (illustrated).","David Salle (B. 1952),

","

Executed in 1986.","Leo Castelli Gallery, New York,

Acquired from the above by the present owner, 1986","USD 350,000","USD 250,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 583,500","Footmen,

","

diptychâ€”oil and acrylic with wood bowl on canvas","New York, Leo Castelli Gallery, ,, April-May 1986.,

New York, Whitney Museum of American Art; Los Angeles, Museum of Contemporary Art; Toronto, Art Gallery of Ontario and Chicago, Museum of Contemporary Art, ,, January 1987-January 1988, pp. 33 and 76 (illustrated in color).,

Amsterdam, Stedelijk Museum; Vienna, Museum Moderner Kunst, Foundation Ludwig; Torino, Castello di Rivoli and Bilbao, Guggenheim Museum, ,, April 1999-April 2000, pp. 52 and 126 (illustrated in color).","

93 x 120 in. (236.2 x 304.8 cm.)"

24 B,"L. Cottingham, ""By the Biennial,"" ,, vol. 11, no. 11, June 1989, p. 104 (illustrated in color).,

H. W. Holzwarth, ed., ,, Cologne, 2012, pp. 67 and 418 (illustrated in color).","Christopher Wool (B. 1955),

","

Painted in 1988.","Luhring Augustine & Hodes Gallery, New York,

Acquired from the above by the present owner, 1988","USD 20,000,000","USD 15,000,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 17,159,500","Untitled,

","

alkyd and Flashe on aluminum","New York, Luhring Augustine & Hodes Gallery, ,, November-December 1988.,

Amsterdam, Stedelijk Museum, ,, January-February 1989, pp. 34, 78 and 103 (illustrated in color and studio view illustrated).,

New York, Whitney Museum of American Art, ,, April-July 1989, pp. 165 and 167 (illustrated in color).,

Porto, Museu Serralves, ,, November 2006-March 2007, pp. 309 and 418 (illustrated in color).","

96 x 60 in. (243.8 x 152.4 cm.)"

23 B,", exh. cat., Rotterdam, Museum Boymans-van Beuningen, 1990, p. 61 (illustrated).,

,, exh. cat., Galerie der Stadt Stuttgart, 1998, pp. 17 and 19, no. 13 (illustrated).,

T. Vischer, ed., ,, Basel, 2007, pp. 120-121, no. S1985.21 (illustrated).","Robert Gober (B. 1954),

","

Executed in 1985.","Jay Gorney Modern Art, New York,

Acquired from the above by the present owner, 1986","USD 5,500,000","USD 3,500,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 5,287,500","Untitled,

","

plaster, wood, steel, wire lath and semi-gloss enamel paint","New York, Jay Gorney Modern Art, , January-February 1986.","

60 x 60 x 26 in. (152.4 x 152.4 x 66 cm.)"

25 B,"New York, 1972, n.p. (another example illustrated). ,

A. Tucker, ed., ,New York, 1973, p. 116, fig. 3 (another example illustrated).,

S. Phillips, et al., ,, New York, 2003, pp. 209 and 300-301 (contact sheet illustrated).,

","DIANE ARBUS (1923-1971),

","

This work was printed by Diane Arbus.","Private collection, acquired directly from the artist,

Anon. sale; Sotheby's, New York, 21 October 1981, lot 241,

Acquired at the above sale by the present owner","USD 500,000","USD 300,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 583,500","A Jewish giant at home with his parents in the Bronx, N.Y., 1970,

","

image: 14 5/8 x 14 3/8 in. (37.2 x 36.5 cm.)","Boston, Institute of Contemporary Art, ,, June-September 1978, p. 27 (another example exhibited).,

Salem, Peabody Essex Museum, ,, June-September 2003, pp. 35, 38 and 129, pl. 12 (another example exhibited and illustrated).,

San Francisco Museum of Modern Art; Los Angeles County Museum of Art; Houston, Museum of Fine Arts; New York, Metropolitan Museum of Art; Essen, Museum Folkwang; London, Victoria and Albert Museum and Minneapolis, Walker Art Center, ,, October 2004-October 2006, pp. 300-301 and 325, no. 300 (another example exhibited and illustrated). ,

New York, Jewish Museum, ,, April-August 2014 (another example exhibited).","

sheet: 20 x 16 in. (50.8 x 40.7 cm.)"

30 B,,"Robert Ryman (B. 1930),

","

Painted in 1988.","Galerie Lelong, New York,

Acquired from the above by the present owner, 1988","USD 6,000,000","USD 4,000,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 3,607,500","Agency,

","

Lascaux acrylic on sized linen canvas mounted on fiberglass panel","New York, Dia Art Foundation, ,, October 1988-June 1989, pp. 33, 35 and 47 (illustrated).","

61 3/4 x 61 3/4 in. (156.8 x 156.8 cm.)"

28 B,"N. F. Karlins, ""A Robert Ryman Installation at the Dia Art Foundation,"" ,, 17-23 November 1988, p. 10 (installation view illustrated).,

D. Carrier, ""Robert Ryman at Dia,"" ,, vol. 131, no. 1030, January 1989, p. 66 (installation view illustrated and reversed).,

D. B. Kuspit, ""Red Desert & Arctic Dreams,"" ,, vol. 77, no. 3, March 1989, p. 122 (installation view illustrated in color).,

J.-P. Criqui, ""Signe Ryman,"" ,, no. 16, Spring 1990, p. 89 (installation view illustrated).,

D. Fischer, ed., ,, Bielefeld, 1993, p. 99.,

A. Murria, ""La neutra realidad de la pintura,"" ,, vol. 11, no. 94, 1993, p. 36 (illustrated in color).,

C. Humblet, ,, Milan, 2003, vol. 2, p. 1301.","Robert Ryman (B. 1930),

","

Executed in 1973.","Galerie Konrad Fischer, DÃ_sseldorf and John Weber Gallery, New York,

Gilman Paper Company, New York, 1974,

Their sale; Christie's, New York, 05 May 1987, lot 44,

Acquired at the above sale by the present owner","USD 1,800,000","USD 1,200,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 1,567,500","Untitled,

","

each panel: 9 1/2 x 10 1/2 in. (24.1 x 26.7 cm.)","DÃ_sseldorf, Konrad Fischer Galerie,,, November 1973.,

New York, John Weber Gallery, ,, September-October 1974, n.p.,

New York, Whitney Museum of American Art, ,, July-September 1977, n.p.,

New York, Dia Art Foundation, ,, October 1988-June 1989, pp. 41 and 47 (installation view illustrated in color).,

London, Tate Gallery; Madrid, Museo Nacional Centro de Arte Reina SofÃ_a; New York, Museum of Modern Art; San Francisco Museum of Modern Art and Minneapolis, Walker Art Center, ,, February 1993-October 1994, pp. 30, 152 and 218, no. 53 (London and New York); pp. 38-39, 166-167 and 238-239 (Madrid) (illustrated in color).","

overall: 9 1/2 x 65 in. (24.1 x 165.1 cm.)"

29 B,"T. Bell, ed., ,, New York, Artifex Press, 2017-ongoing, no. 1982.002.","Agnes Martin (1912-2004),

","

Painted in 1982.","Pace Gallery, New York,

Acquired from the above by the present owner, 1983","USD 3,500,000","USD 2,500,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 4,951,500","Untitled II,

","

acrylic and graphite on canvas","New York, Pace Gallery, ,, December 1982-January 1983.","

72 x 72 in. (182.8 x 182.8 cm.)"

8 B,"W. A. Camfield, ,, Princeton, 1979, no. 390 (illustrated; with incorrect support).,

M. L. BorrÃ s, ,, New York, 1985, pp. 439 and 531, no. 766, fig. 953 (illustrated; with incorrect support).,

I. Sandler, ,, Boulder, 1996, pp. xvi and 285, fig. 127 (illustrated; with incorrect support).,

""Francis Picabia,"" ,, Hamburg, October 2002, p. 23 (illustrated; with incorrect support).","Francis Picabia (1879-1953),

",1941-1942.,"Private collection, Paris ,

Robert Fraser Gallery, London, 1966 ,

Waddington and Tooth Galleries, Ltd., London ,

Anon. sale; Sotheby Parke Bernet & Co., London, 01 July 1981, lot 229 ,

Private collection ,

Mary Boone and Michael Werner, New York, 1983 ,

Mary Boone Gallery, New York ,

Acquired from the above by the present owner, 1989,

","USD 2,000,000","USD 1,500,000","On occasion, Christie's has a direct financial interest in the outcome of the sale of certain lots consigned for sale.  This will usually be where it has guaranteed to the Seller that whatever the outcome of the auction, the Seller will receive a minimum sale price for the work. This is known as a minimum price guarantee.  Where Christie's has provided a Minimum Price Guarantee it is at risk of making a loss, which can be significant, if the lot fails to sell.  Christie's therefore sometimes chooses to share that risk with a third party. In such cases the third party agrees prior to the auction to place an irrevocable written bid on the lot. The third party is therefore committed to bidding on the lot and, even if there are no other bids, buying the lot at the level of the written bid unless there are any higher bids.  In doing so, the third party takes on all or part of the risk of the lot not being sold.  If the lot is not sold, the third party may incur a loss.  The third party will be remunerated in exchange for accepting this risk based on a fixed fee if the third party is the successful bidder or on the final hammer price in the event that the third party is not the successful bidder. The third party may also bid for the lot above the written bid. Where it does so, and is the successful bidder, the fixed fee for taking on the guarantee risk may be netted against the final purchase price.,Third party guarantors are required by us to disclose to anyone they are advising their financial interest in any lots they are guaranteeing. However, for the avoidance of any doubt, if you are advised by or bidding through an agent on a lot identified as being subject to a third party guarantee you should always ask your agent to confirm whether or not he or she has a financial interest in relation to the lot.","USD 3,367,500","Adam et Eve,

","

41 1/2 x 29 5/8 in. (105.5 x 75.3 cm.)","Paris, Jean Larcade, ,, June-August 1965.,

Leverkusen, StÃ_dtische Museum Schloss Morsbroich and Eindhoven, Stedelijk Van Abbemuseum, ,, February-June 1967. ,

New York, Mary Boone Gallery, ,, September-October 1983 (illustrated).,

StÃ_dtische Kunsthalle DÃ_sseldorf, ,, October-December 1983, pp. 25 and 181, no. 125 (illustrated in color; with incorrect support).,

Kunsthaus ZÃ_rich, ,, February-March 1984, no. 2.,

Stockholm, Moderna Museet, ,, April-May 1984, pp. 8 and 16, no. 192 (illustrated).,

Tokyo, The Seibu Museum of Art and The Museum of Modern Art, Seibu Takanawa, ,, July-October 1984, no. 70 (illustrated in color; with incorrect support). ,

Edinburgh, Scottish National Gallery of Modern Art and Frankfurt, Galerie Neuendorf, ,, July-November 1988, pp. 107 and 148, no. 55 (illustrated in color; with incorrect support).,

New York, Panicali Fine Art Gallery, ,, April-May 1989, pp. 30-31 and 41 (illustrated in color; with incorrect support). ,

New York, Museum of Modern Art, ,, November 2016-March 2017, pp. 231 and 357, pl. 182 (illustrated in color; with incorrect support).","

Painted "

26 B,"J. Koons and R. Rosenblum, ,London, 1992, p. 153.,

,, exh. cat., San Francisco Museum of Modern Art, 1992, n.p., no. 9 (erroneously illustrated in color).,

A. Muthesius, ed., ,, Cologne, 1992, p. 47 (illustrated in color).,

D. Littlejohn, â€œWho is Jeff Koons and Why Are People Saying Such Terrible Things About Him?â€ù ,, vol. 92, no. 4, April 1993, p. 93 (illustrated).,

H.W. Holzwarth, ed., ,, Cologne, 2008, pp. 132 and 584 (illustrated in color).,

""Reflections: Jeff Koonsâ€™ Philosophy of Perfection,"" ,, 16 June 2014 (video).","Jeff Koons (B. 1955),

","

