lot_number,title,artist,high_estimate,low_estimate,price_realised
24 B,"Untitled,
","Christopher Wool (B. 1955),
","USD 20,000,000","USD 15,000,000","USD 17,159,500"
23 B,"Untitled,
","Robert Gober (B. 1954),
","USD 5,500,000","USD 3,500,000","USD 5,287,500"
26 B,"New Shelton Wet/Drys 10 Gallon, New Shelton Wet/Drys 5 Gallon Doubledecker,
","Jeff Koons (B. 1955),
","USD 9,000,000","USD 7,000,000","USD 7,863,500"
29 B,"Untitled II,
","Agnes Martin (1912-2004),
","USD 3,500,000","USD 2,500,000","USD 4,951,500"
25 B,"A Jewish giant at home with his parents in the Bronx, N.Y., 1970,
","DIANE ARBUS (1923-1971),
","USD 500,000","USD 300,000","USD 583,500"
32 B,"Untitled (#209),
","Cindy Sherman (B. 1954),
","USD 550,000","USD 450,000","USD 943,500"
31 B,"Skewed Tunnel and Trench in False Perspective,
","Bruce Nauman (B. 1941),
","USD 3,000,000","USD 2,000,000",
33 B,"Self-Portrait,
","Andy Warhol (1928-1987),
","USD 4,000,000","USD 2,000,000","USD 4,167,500"
27 B,"Untitled (Three Small Animals),
","Bruce Nauman (B. 1941),
","USD 3,000,000","USD 2,000,000","USD 2,227,500"
34 B,"Selbstporträt mit Offenem Mund (Self-Portrait with Open Mouth),
","Albert Oehlen (B. 1954),
","USD 5,000,000","USD 3,000,000","USD 3,487,500"
28 B,"Untitled,
","Robert Ryman (B. 1930),
","USD 1,800,000","USD 1,200,000","USD 1,567,500"
37 B,"Julian,
","Urs Fischer (B. 1973),
","USD 3,500,000","USD 2,800,000","USD 3,367,500"
30 B,"Agency,
","Robert Ryman (B. 1930),
","USD 6,000,000","USD 4,000,000","USD 3,607,500"
36 B,"Untitled (S III Released to France Face 43.14),
","Mark Grotjahn (B. 1968),
","USD 16,000,000","USD 13,000,000","USD 16,767,500"
35 B,"Untitled (After Sam),
","Rudolf Stingel (B. 1956),
","USD 15,000,000","USD 10,000,000","USD 10,551,500"
40 B,"Eine Prähistorische Hand II (A Prehistoric Hand II),
","Albert Oehlen (B. 1954),
","USD 2,500,000","USD 1,800,000","USD 2,167,500"
45 B,"Untitled,
","Rudolf Stingel (B. 1956),
","USD 5,500,000","USD 4,500,000","USD 6,743,500"
42 B,"Untitled II,
","Willem de Kooning (1904-1997),
","USD 35,000,000","USD 25,000,000",
46 B,"Artaud,
","Richard Serra (B. 1939),
","USD 1,200,000","USD 800,000","USD 1,687,500"
39 B,"Why Then Opened II,
","Sam Francis (1923-1994),
","USD 5,000,000","USD 3,000,000","USD 3,831,500"
41 B,"Untitled,
","Jean-Michel Basquiat (1960-1988),
","USD 9,000,000","USD 7,000,000","USD 8,647,500"
43 B,"Sodium,
","Urs Fischer (B. 1973),
","USD 900,000","USD 700,000","USD 787,500"
49 B,"Untitled,
","Rudolf Stingel (B. 1956),
","USD 1,200,000","USD 800,000","USD 991,500"
52 B,"Untitled,
","Christopher Wool (B. 1955),
","USD 1,500,000","USD 1,000,000","USD 1,207,500"
51 B,"Series #24 (White),
","Robert Ryman (B. 1930),
","USD 1,800,000","USD 1,200,000","USD 1,807,500"
53 B,"Untitled,
","Maurizio Cattelan (B. 1960),
","USD 1,500,000","USD 1,000,000","USD 1,507,500"
47 B,"Untitled,
","Donald Judd (1928-1994),
","USD 1,800,000","USD 1,200,000","USD 1,807,500"
57 B,"Red and White Brushstrokes,
","Roy Lichtenstein (1923-1997),
","USD 35,000,000","USD 25,000,000","USD 28,247,500"
54 B,"Untitled,
","Philip Guston (1913-1980),
","USD 3,000,000","USD 2,000,000","USD 2,287,500"
59 B,"Expressionist Head,
","Roy Lichtenstein (1923-1997),
","USD 3,500,000","USD 2,500,000","USD 3,127,500"
60 B,"Le Truand,
","Jean Dubuffet (1901-1985),
","USD 3,000,000","USD 2,000,000","USD 5,511,500"
55 B,"La Hara,
","Jean-Michel Basquiat (1960-1988),
","USD 28,000,000","USD 22,000,000","USD 34,967,500"
56 B,"Dollar Sign,
","Andy Warhol (1928-1987),
","USD 8,000,000","USD 6,000,000","USD 7,191,500"
62 B,"Bronzefrau Nr. I,
","Thomas Schütte (B. 1954),
","USD 3,800,000","USD 3,200,000","USD 5,175,500"
64 B,"I Refuse to be Invisible,
","Njideka Akunyili Crosby (B. 1983),
","USD 2,000,000","USD 1,500,000","USD 2,647,500"
65 B,"Elaine,
","Jean-Michel Basquiat (1960-1988),
","USD 7,000,000","USD 5,000,000","USD 5,959,500"
66 B,"Stretcher Frame Revealed Beneath Painting of a Stretcher Frame,
","Roy Lichtenstein (1923-1997),
","USD 3,000,000","USD 2,000,000","USD 2,887,500"
61 B,"Breasted Woman,
","Louise Bourgeois (1911-2010),
","USD 2,500,000","USD 1,500,000","USD 2,887,500"
63 B,"Memory Ware Flat #16,
","Mike Kelley (1954-2012),
","USD 2,800,000","USD 2,200,000","USD 2,887,500"
69 B,"Gur Variation II,
","Frank Stella (B. 1936),
","USD 3,000,000","USD 2,000,000","USD 2,647,500"
67 B,"Green Panel,
","Ellsworth Kelly (1923-2015),
","USD 3,500,000","USD 2,500,000","USD 2,767,500"
68 B,"Homage to the Square: Sudden Change,
","Josef Albers (1888-1976),
","USD 700,000","USD 500,000","USD 967,500"
70 B,"Brooklyn Bridge III,
","Ellsworth Kelly (1923-2015),
","USD 1,200,000","USD 800,000","USD 907,500"
71 B,"Drawings for Dante's 700th birthday,
","Robert Rauschenberg (1925-2008),
","USD 1,200,000","USD 800,000","USD 2,887,500"
73 B,"Garden Elements,
","Isamu Noguchi (1904-1988),
","USD 1,500,000","USD 1,000,000","USD 4,727,500"
72 B,"Shiva Rock,
","Isamu Noguchi (1904-1988),
","USD 800,000","USD 600,000","USD 2,287,500"
